"exchange","symbol","fiscalQID","revenue","quarter","year","fiscalQ1"
"TSE","2158","FQ12013",16.52696,1,2013,"2013Q1"
"TSE","2158","FQ22013",13.35216,2,2013,"2013Q2"
"TSE","2158","FQ32013",13.5316,3,2013,"2013Q3"
"TSE","2158","FQ42013",12.40275,4,2013,"2013Q4"
"TSE","2158","FQ12014",12.53464,1,2014,"2014Q1"
"TSE","2158","FQ22014",8.67217,2,2014,"2014Q2"
"TSE","2158","FQ32014",10.49929,3,2014,"2014Q3"
"TSE","2158","FQ42014",9.46465,4,2014,"2014Q4"
"TSE","2158","FQ12015",13.01279,1,2015,"2015Q1"
"TSE","2158","FQ22015",14.30264,2,2015,"2015Q2"
"TSE","2158","FQ32015",13.03785,3,2015,"2015Q3"
"TSE","2158","FQ42015",15.25203,4,2015,"2015Q4"
"TSE","2158","FQ12016",14.11284,1,2016,"2016Q1"
"TSE","2158","FQ22016",22.50804,2,2016,"2016Q2"
"TSE","2158","FQ32016",26.43927,3,2016,"2016Q3"
"TSE","2158","FQ42016",26.07236,4,2016,"2016Q4"
"TSE","2158","FQ12017",27.1873,1,2017,"2017Q1"
"TSE","2158","FQ22017",24.14219,2,2017,"2017Q2"
"TSE","2158","FQ32017",25.79871,3,2017,"2017Q3"
"TSE","2158","FQ42017",26.52915,4,2017,"2017Q4"
"TSEC","2303","FQ12013",898.13845,1,2013,"2013Q1"
"TSEC","2303","FQ22013",1030.83353,2,2013,"2013Q2"
"TSEC","2303","FQ32013",1098.96583,3,2013,"2013Q3"
"TSEC","2303","FQ42013",992.31822,4,2013,"2013Q4"
"TSEC","2303","FQ12014",1010.14256,1,2014,"2014Q1"
"TSEC","2303","FQ22014",1172.73447,2,2014,"2014Q2"
"TSEC","2303","FQ32014",1126.78457,3,2014,"2014Q3"
"TSEC","2303","FQ42014",1086.06165,4,2014,"2014Q4"
"TSEC","2303","FQ12015",1173.29125,1,2015,"2015Q1"
"TSEC","2303","FQ22015",1187.24401,2,2015,"2015Q2"
"TSEC","2303","FQ32015",1043.64027,3,2015,"2015Q3"
"TSEC","2303","FQ42015",1122.1034,4,2015,"2015Q4"
"TSEC","2303","FQ12016",1024.9473,1,2016,"2016Q1"
"TSEC","2303","FQ22016",1112.51132,2,2016,"2016Q2"
"TSEC","2303","FQ32016",1179.99185,3,2016,"2016Q3"
"TSEC","2303","FQ42016",1298.38789,4,2016,"2016Q4"
"TSEC","2303","FQ12017",1183.15728,1,2017,"2017Q1"
"TSEC","2311","FQ12013",1614.29294,1,2013,"2013Q1"
"TSEC","2311","FQ22013",1689.9643,2,2013,"2013Q2"
"TSEC","2311","FQ32013",1919.96492,3,2013,"2013Q3"
"TSEC","2311","FQ42013",2147.76239,4,2013,"2013Q4"
"TSEC","2311","FQ12014",1797.08215,1,2014,"2014Q1"
"TSEC","2311","FQ22014",1961.68838,2,2014,"2014Q2"
"TSEC","2311","FQ32014",2191.04588,3,2014,"2014Q3"
"TSEC","2311","FQ42014",2414.76732,4,2014,"2014Q4"
"TSEC","2311","FQ12015",2066.87415,1,2015,"2015Q1"
"TSEC","2311","FQ22015",2269.97941,2,2015,"2015Q2"
"TSEC","2311","FQ32015",2211.07519,3,2015,"2015Q3"
"TSEC","2311","FQ42015",2291.07394,4,2015,"2015Q4"
"TSEC","2311","FQ12016",1940.3043,1,2016,"2016Q1"
"TSEC","2311","FQ22016",1941.10707,2,2016,"2016Q2"
"TSEC","2311","FQ32016",2323.13082,3,2016,"2016Q3"
"TSEC","2311","FQ42016",2380.07261,4,2016,"2016Q4"
"TSEC","2311","FQ12017",2187.94371,1,2017,"2017Q1"
"TSEC","2325","FQ12013",462.92409,1,2013,"2013Q1"
"TSEC","2325","FQ22013",586.01671,2,2013,"2013Q2"
"TSEC","2325","FQ32013",645.92547,3,2013,"2013Q3"
"TSEC","2325","FQ42013",630.75363,4,2013,"2013Q4"
"TSEC","2325","FQ12014",593.34944,1,2014,"2014Q1"
"TSEC","2325","FQ22014",733.87045,2,2014,"2014Q2"
"TSEC","2325","FQ32014",711.98273,3,2014,"2014Q3"
"TSEC","2325","FQ42014",675.20211,4,2014,"2014Q4"
"TSEC","2325","FQ12015",665.02292,1,2015,"2015Q1"
"TSEC","2325","FQ22015",686.60214,2,2015,"2015Q2"
"TSEC","2325","FQ32015",607.75263,3,2015,"2015Q3"
"TSEC","2325","FQ42015",629.71767,4,2015,"2015Q4"
"TSEC","2325","FQ12016",600.38295,1,2016,"2016Q1"
"TSEC","2325","FQ22016",672.24518,2,2016,"2016Q2"
"TSEC","2325","FQ32016",700.77204,3,2016,"2016Q3"
"TSEC","2325","FQ42016",684.36425,4,2016,"2016Q4"
"TSEC","2325","FQ12017",642.78479,1,2017,"2017Q1"
"TSEC","2330","FQ12013",4447.10558,1,2013,"2013Q1"
"TSEC","2330","FQ22013",5189.98264,2,2013,"2013Q2"
"TSEC","2330","FQ32013",5500.4579,3,2013,"2013Q3"
"TSEC","2330","FQ42013",4880.53049,4,2013,"2013Q4"
"TSEC","2330","FQ12014",4869.41235,1,2014,"2014Q1"
"TSEC","2330","FQ22014",6125.18351,2,2014,"2014Q2"
"TSEC","2330","FQ32014",6874.14854,3,2014,"2014Q3"
"TSEC","2330","FQ42014",7010.74698,4,2014,"2014Q4"
"TSEC","2330","FQ12015",7097.14379,1,2015,"2015Q1"
"TSEC","2330","FQ22015",6641.01358,2,2015,"2015Q2"
"TSEC","2330","FQ32015",6447.94465,3,2015,"2015Q3"
"TSEC","2330","FQ42015",6171.90593,4,2015,"2015Q4"
"TSEC","2330","FQ12016",6330.54472,1,2016,"2016Q1"
"TSEC","2330","FQ22016",6877.8247,2,2016,"2016Q2"
"TSEC","2330","FQ32016",8311.7103,3,2016,"2016Q3"
"TSEC","2330","FQ42016",8091.93384,4,2016,"2016Q4"
"TSEC","2330","FQ12017",7690.25215,1,2017,"2017Q1"
"TSEC","2330","FQ22017",7033.81131,2,2017,"2017Q2"
"TSEC","2409","FQ12013",3157.0474,1,2013,"2013Q1"
"TSEC","2409","FQ22013",3740.00643,2,2013,"2013Q2"
"TSEC","2409","FQ32013",3622.85659,3,2013,"2013Q3"
"TSEC","2409","FQ42013",3437.76465,4,2013,"2013Q4"
"TSEC","2409","FQ12014",3081.72839,1,2014,"2014Q1"
"TSEC","2409","FQ22014",3415.0622,2,2014,"2014Q2"
"TSEC","2409","FQ32014",3514.73137,3,2014,"2014Q3"
"TSEC","2409","FQ42014",3322.26041,4,2014,"2014Q4"
"TSEC","2409","FQ12015",3046.25011,1,2015,"2015Q1"
"TSEC","2409","FQ22015",2983.78799,2,2015,"2015Q2"
"TSEC","2409","FQ32015",2709.56068,3,2015,"2015Q3"
"TSEC","2409","FQ42015",2530.46521,4,2015,"2015Q4"
"TSEC","2409","FQ12016",2212.94856,1,2016,"2016Q1"
"TSEC","2409","FQ22016",2483.43886,2,2016,"2016Q2"
"TSEC","2409","FQ32016",2745.52565,3,2016,"2016Q3"
"TSEC","2409","FQ42016",2834.21533,4,2016,"2016Q4"
"TSEC","2409","FQ12017",2911.42506,1,2017,"2017Q1"
"TSEC","2412","FQ12013",1896.58961,1,2013,"2013Q1"
"TSEC","2412","FQ22013",1859.03434,2,2013,"2013Q2"
"TSEC","2412","FQ32013",1919.11574,3,2013,"2013Q3"
"TSEC","2412","FQ42013",1968.29277,4,2013,"2013Q4"
"TSEC","2412","FQ12014",1808.59164,1,2014,"2014Q1"
"TSEC","2412","FQ22014",1866.94226,2,2014,"2014Q2"
"TSEC","2412","FQ32014",1846.06482,3,2014,"2014Q3"
"TSEC","2412","FQ42014",1878.83348,4,2014,"2014Q4"
"TSEC","2412","FQ12015",1805.1081,1,2015,"2015Q1"
"TSEC","2412","FQ22015",1840.00627,2,2015,"2015Q2"
"TSEC","2412","FQ32015",1704.57411,3,2015,"2015Q3"
"TSEC","2412","FQ42015",1887.00388,4,2015,"2015Q4"
"TSEC","2412","FQ12016",1771.47786,1,2016,"2016Q1"
"TSEC","2412","FQ22016",1742.49393,2,2016,"2016Q2"
"TSEC","2412","FQ32016",1867.79377,3,2016,"2016Q3"
"TSEC","2412","FQ42016",1800.08134,4,2016,"2016Q4"
"TSEC","2412","FQ12017",1792.85925,1,2017,"2017Q1"
"SEHK","2600","FQ12013",5504.51226,1,2013,"2013Q1"
"SEHK","2600","FQ22013",6547.94649,2,2013,"2013Q2"
"SEHK","2600","FQ32013",7420.28081,3,2013,"2013Q3"
"SEHK","2600","FQ42013",7740.89394,4,2013,"2013Q4"
"SEHK","2600","FQ12014",5668.78748,1,2014,"2014Q1"
"SEHK","2600","FQ22014",5384.37791,2,2014,"2014Q2"
"SEHK","2600","FQ32014",5651.90306,3,2014,"2014Q3"
"SEHK","2600","FQ42014",5630.84795,4,2014,"2014Q4"
"SEHK","2600","FQ12015",4419.19107,1,2015,"2015Q1"
"SEHK","2600","FQ22015",6251.2015,2,2015,"2015Q2"
"SEHK","2600","FQ32015",4615.6604,3,2015,"2015Q3"
"SEHK","2600","FQ42015",3937.68642,4,2015,"2015Q4"
"SEHK","2600","FQ12016",3249.93507,1,2016,"2016Q1"
"SEHK","2600","FQ22016",4341.22746,2,2016,"2016Q2"
"SEHK","2600","FQ32016",6243.69857,3,2016,"2016Q3"
"SEHK","2600","FQ42016",7210.54902,4,2016,"2016Q4"
"SEHK","2600","FQ12017",5941.56536,1,2017,"2017Q1"
"SEHK","2628","FQ12013",21809.34756,1,2013,"2013Q1"
"SEHK","2628","FQ22013",18415.55139,2,2013,"2013Q2"
"SEHK","2628","FQ32013",15611.71644,3,2013,"2013Q3"
"SEHK","2628","FQ42013",6965.147,4,2013,"2013Q4"
"SEHK","2628","FQ12014",24522.90569,1,2014,"2014Q1"
"SEHK","2628","FQ22014",13948.05823,2,2014,"2014Q2"
"SEHK","2628","FQ32014",16584.34466,3,2014,"2014Q3"
"SEHK","2628","FQ42014",9326.02385,4,2014,"2014Q4"
"SEHK","2628","FQ12015",30342.28568,1,2015,"2015Q1"
"SEHK","2628","FQ22015",23012.98278,2,2015,"2015Q2"
"SEHK","2628","FQ32015",14749.55953,3,2015,"2015Q3"
"SEHK","2628","FQ42015",931.99846,4,2015,"2015Q4"
"SEHK","2628","FQ12016",34236.71033,1,2016,"2016Q1"
"SEHK","2628","FQ22016",17656.98809,2,2016,"2016Q2"
"SEHK","2628","FQ32016",16792.91675,3,2016,"2016Q3"
"SEHK","2628","FQ42016",5989.42882,4,2016,"2016Q4"
"SEHK","2628","FQ12017",38767.51918,1,2017,"2017Q1"
"SEHK","338","FQ12013",4642.79574,1,2013,"2013Q1"
"SEHK","338","FQ22013",4561.28162,2,2013,"2013Q2"
"SEHK","338","FQ32013",4777.66552,3,2013,"2013Q3"
"SEHK","338","FQ42013",4725.25718,4,2013,"2013Q4"
"SEHK","338","FQ12014",3878.76416,1,2014,"2014Q1"
"SEHK","338","FQ22014",4342.17239,2,2014,"2014Q2"
"SEHK","338","FQ32014",4128.78471,3,2014,"2014Q3"
"SEHK","338","FQ42014",4023.8415,4,2014,"2014Q4"
"SEHK","338","FQ12015",3166.43601,1,2015,"2015Q1"
"SEHK","338","FQ22015",3597.03749,2,2015,"2015Q2"
"SEHK","338","FQ32015",3052.70765,3,2015,"2015Q3"
"SEHK","338","FQ42015",2885.71491,4,2015,"2015Q4"
"SEHK","338","FQ12016",2566.47723,1,2016,"2016Q1"
"SEHK","338","FQ22016",3033.71415,2,2016,"2016Q2"
"SEHK","338","FQ32016",2637.67876,3,2016,"2016Q3"
"SEHK","338","FQ42016",3281.91492,4,2016,"2016Q4"
"SEHK","338","FQ12017",3278.26645,1,2017,"2017Q1"
"SEHK","386","FQ12013",110408.17289,1,2013,"2013Q1"
"SEHK","386","FQ22013",115543.61604,2,2013,"2013Q2"
"SEHK","386","FQ32013",116557.43039,3,2013,"2013Q3"
"SEHK","386","FQ42013",119562.2727,4,2013,"2013Q4"
"SEHK","386","FQ12014",101721.30364,1,2014,"2014Q1"
"SEHK","386","FQ22014",113497.30654,2,2014,"2014Q2"
"SEHK","386","FQ32014",121991.52854,3,2014,"2014Q3"
"SEHK","386","FQ42014",112001.28975,4,2014,"2014Q4"
"SEHK","386","FQ12015",75706.75059,1,2015,"2015Q1"
"SEHK","386","FQ22015",89203.28987,2,2015,"2015Q2"
"SEHK","386","FQ32015",76610.08683,3,2015,"2015Q3"
"SEHK","386","FQ42015",72149.86537,4,2015,"2015Q4"
"SEHK","386","FQ12016",62567.90032,1,2016,"2016Q1"
"SEHK","386","FQ22016",68185.19622,2,2016,"2016Q2"
"SEHK","386","FQ32016",70784.04012,3,2016,"2016Q3"
"SEHK","386","FQ42016",79401.15801,4,2016,"2016Q4"
"SEHK","386","FQ12017",82477.74239,1,2017,"2017Q1"
"TSE","3938","FQ12013",72.45022,1,2013,"2013Q1"
"TSE","3938","FQ22013",68.76364,2,2013,"2013Q2"
"TSE","3938","FQ32013",132.15564,3,2013,"2013Q3"
"TSE","3938","FQ42013",123.33269,4,2013,"2013Q4"
"TSE","3938","FQ12014",161.07039,1,2014,"2014Q1"
"TSE","3938","FQ32014",225.99802,3,2014,"2014Q3"
"TSE","3938","FQ42014",206.93613,4,2014,"2014Q4"
"TSE","3938","FQ12015",234.22074,1,2015,"2015Q1"
"TSE","3938","FQ22015",229.52051,2,2015,"2015Q2"
"TSE","3938","FQ32015",266.4147,3,2015,"2015Q3"
"TSE","3938","FQ42015",268.98391,4,2015,"2015Q4"
"TSE","3938","FQ12016",297.7572,1,2016,"2016Q1"
"TSE","3938","FQ22016",329.65338,2,2016,"2016Q2"
"TSE","3938","FQ32016",354.77387,3,2016,"2016Q3"
"TSE","3938","FQ42016",320.89913,4,2016,"2016Q4"
"TSE","3938","FQ12017",349.02243,1,2017,"2017Q1"
"BSE","500124","FQ12013",456.73708,1,2013,"2013Q1"
"BSE","500124","FQ22013",545.00567,2,2013,"2013Q2"
"BSE","500124","FQ32013",522.11391,3,2013,"2013Q3"
"BSE","500124","FQ42013",601.93387,4,2013,"2013Q4"
"BSE","500124","FQ12014",478.49633,1,2014,"2014Q1"
"BSE","500124","FQ22014",536.77058,2,2014,"2014Q2"
"BSE","500124","FQ32014",571.58109,3,2014,"2014Q3"
"BSE","500124","FQ42014",567.23967,4,2014,"2014Q4"
"BSE","500124","FQ12015",585.32322,1,2015,"2015Q1"
"BSE","500124","FQ22015",579.53479,2,2015,"2015Q2"
"BSE","500124","FQ32015",607.94114,3,2015,"2015Q3"
"BSE","500124","FQ42015",619.11542,4,2015,"2015Q4"
"BSE","500124","FQ12016",590.43129,1,2016,"2016Q1"
"BSE","500124","FQ22016",608.29584,2,2016,"2016Q2"
"BSE","500124","FQ32016",599.19964,3,2016,"2016Q3"
"BSE","500124","FQ42016",554.05508,4,2016,"2016Q4"
"BSE","500124","FQ12017",478.86595,1,2017,"2017Q1"
"BSE","500124","FQ22017",538.27216,2,2017,"2017Q2"
"BSE","500124","FQ32017",545.75574,3,2017,"2017Q3"
"BSE","500124","FQ42017",534.03813,4,2017,"2017Q4"
"BSE","500570","FQ12013",7761.10198,1,2013,"2013Q1"
"BSE","500570","FQ22013",8100.43497,2,2013,"2013Q2"
"BSE","500570","FQ32013",8350.125,3,2013,"2013Q3"
"BSE","500570","FQ42013",9982.74784,4,2013,"2013Q4"
"BSE","500570","FQ12014",7865.0928,1,2014,"2014Q1"
"BSE","500570","FQ22014",8854.9607,2,2014,"2014Q2"
"BSE","500570","FQ32014",10216.31888,3,2014,"2014Q3"
"BSE","500570","FQ42014",11268.62179,4,2014,"2014Q4"
"BSE","500570","FQ12015",10674.88778,1,2015,"2015Q1"
"BSE","500570","FQ22015",9691.19989,2,2015,"2015Q2"
"BSE","500570","FQ32015",10981.57854,3,2015,"2015Q3"
"BSE","500570","FQ42015",11131.72364,4,2015,"2015Q4"
"BSE","500570","FQ12016",9455.66324,1,2016,"2016Q1"
"BSE","500570","FQ22016",9279.91304,2,2016,"2016Q2"
"BSE","500570","FQ32016",10825.44858,3,2016,"2016Q3"
"BSE","500570","FQ42016",12499.64408,4,2016,"2016Q4"
"BSE","500570","FQ12017",9614.34905,1,2017,"2017Q1"
"BSE","500570","FQ22017",9778.69098,2,2017,"2017Q2"
"BSE","500570","FQ32017",9843.94925,3,2017,"2017Q3"
"BSE","500570","FQ42017",11917.15286,4,2017,"2017Q4"
"BSE","507685","FQ12013",1632.71909,1,2013,"2013Q1"
"BSE","507685","FQ22013",1744.04083,2,2013,"2013Q2"
"BSE","507685","FQ32013",1733.66746,3,2013,"2013Q3"
"BSE","507685","FQ42013",1744.78311,4,2013,"2013Q4"
"BSE","507685","FQ12014",1635.97676,1,2014,"2014Q1"
"BSE","507685","FQ22014",1722.68583,2,2014,"2014Q2"
"BSE","507685","FQ32014",1823.0975,3,2014,"2014Q3"
"BSE","507685","FQ42014",1943.52475,4,2014,"2014Q4"
"BSE","507685","FQ12015",1853.03264,1,2015,"2015Q1"
"BSE","507685","FQ22015",1887.22334,2,2015,"2015Q2"
"BSE","507685","FQ32015",1897.16045,3,2015,"2015Q3"
"BSE","507685","FQ42015",1942.22188,4,2015,"2015Q4"
"BSE","507685","FQ12016",1922.79044,1,2016,"2016Q1"
"BSE","507685","FQ22016",1908.27296,2,2016,"2016Q2"
"BSE","507685","FQ32016",1942.087,3,2016,"2016Q3"
"BSE","507685","FQ42016",2056.94458,4,2016,"2016Q4"
"BSE","507685","FQ12017",2013.35408,1,2017,"2017Q1"
"BSE","507685","FQ22017",2066.4565,2,2017,"2017Q2"
"BSE","507685","FQ32017",2015.43109,3,2017,"2017Q3"
"BSE","507685","FQ42017",2158.73144,4,2017,"2017Q4"
"SEHK","525","FQ12013",596.94086,1,2013,"2013Q1"
"SEHK","525","FQ22013",556.05829,2,2013,"2013Q2"
"SEHK","525","FQ32013",655.61832,3,2013,"2013Q3"
"SEHK","525","FQ42013",504.92822,4,2013,"2013Q4"
"SEHK","525","FQ12014",565.18652,1,2014,"2014Q1"
"SEHK","525","FQ22014",519.62302,2,2014,"2014Q2"
"SEHK","525","FQ32014",630.72316,3,2014,"2014Q3"
"SEHK","525","FQ42014",442.33857,4,2014,"2014Q4"
"SEHK","525","FQ12015",593.41247,1,2015,"2015Q1"
"SEHK","525","FQ22015",519.19692,2,2015,"2015Q2"
"SEHK","525","FQ32015",620.51604,3,2015,"2015Q3"
"SEHK","525","FQ42015",510.43674,4,2015,"2015Q4"
"SEHK","525","FQ12016",621.57285,1,2016,"2016Q1"
"SEHK","525","FQ22016",537.21388,2,2016,"2016Q2"
"SEHK","525","FQ32016",687.86985,3,2016,"2016Q3"
"SEHK","525","FQ42016",504.66569,4,2016,"2016Q4"
"SEHK","525","FQ12017",625.88364,1,2017,"2017Q1"
"SHSE","600029","FQ12013",3794.70677,1,2013,"2013Q1"
"SHSE","600029","FQ22013",3525.93533,2,2013,"2013Q2"
"SHSE","600029","FQ32013",4642.80462,3,2013,"2013Q3"
"SHSE","600029","FQ42013",3621.40733,4,2013,"2013Q4"
"SHSE","600029","FQ12014",4174.33407,1,2014,"2014Q1"
"SHSE","600029","FQ22014",3762.1613,2,2014,"2014Q2"
"SHSE","600029","FQ32014",5150.281,3,2014,"2014Q3"
"SHSE","600029","FQ42014",3972.26701,4,2014,"2014Q4"
"SHSE","600029","FQ12015",4471.00573,1,2015,"2015Q1"
"SHSE","600029","FQ22015",4132.08611,2,2015,"2015Q2"
"SHSE","600029","FQ32015",5035.8671,3,2015,"2015Q3"
"SHSE","600029","FQ42015",3704.12015,4,2015,"2015Q4"
"SHSE","600029","FQ12016",4339.12275,1,2016,"2016Q1"
"SHSE","600029","FQ22016",3924.32676,2,2016,"2016Q2"
"SHSE","600029","FQ32016",4884.17074,3,2016,"2016Q3"
"SHSE","600029","FQ42016",3747.44362,4,2016,"2016Q4"
"SHSE","600029","FQ12017",4497.84323,1,2017,"2017Q1"
"SEHK","670","FQ12013",3354.35604,1,2013,"2013Q1"
"SEHK","670","FQ22013",2860.86418,2,2013,"2013Q2"
"SEHK","670","FQ32013",4187.50918,3,2013,"2013Q3"
"SEHK","670","FQ42013",2326.23059,4,2013,"2013Q4"
"SEHK","670","FQ12014",3510.48771,1,2014,"2014Q1"
"SEHK","670","FQ22014",2861.30096,2,2014,"2014Q2"
"SEHK","670","FQ32014",4263.25648,3,2014,"2014Q3"
"SEHK","670","FQ42014",2310.38374,4,2014,"2014Q4"
"SEHK","670","FQ12015",3612.06549,1,2015,"2015Q1"
"SEHK","670","FQ22015",2980.56608,2,2015,"2015Q2"
"SEHK","670","FQ32015",4349.98741,3,2015,"2015Q3"
"SEHK","670","FQ42015",2213.01502,4,2015,"2015Q4"
"SEHK","670","FQ12016",3646.25133,1,2016,"2016Q1"
"SEHK","670","FQ22016",2904.31773,2,2016,"2016Q2"
"SEHK","670","FQ32016",4359.67792,3,2016,"2016Q3"
"SEHK","670","FQ42016",2254.80313,4,2016,"2016Q4"
"SEHK","670","FQ12017",3563.5339,1,2017,"2017Q1"
"TSE","6758","FQ12013",16207.33131,1,2013,"2013Q1"
"TSE","6758","FQ22013",17219.9518,2,2013,"2013Q2"
"TSE","6758","FQ32013",19199.98856,3,2013,"2013Q3"
"TSE","6758","FQ42013",14796.95348,4,2013,"2013Q4"
"TSE","6758","FQ12014",14498.82562,1,2014,"2014Q1"
"TSE","6758","FQ22014",15398.34983,2,2014,"2014Q2"
"TSE","6758","FQ32014",19961.29236,3,2014,"2014Q3"
"TSE","6758","FQ42014",15865.6433,4,2014,"2014Q4"
"TSE","6758","FQ12015",15202.70481,1,2015,"2015Q1"
"TSE","6758","FQ22015",14641.37603,2,2015,"2015Q2"
"TSE","6758","FQ32015",18692.75063,3,2015,"2015Q3"
"TSE","6758","FQ42015",13751.87126,4,2015,"2015Q4"
"TSE","6758","FQ12016",12291.99527,1,2016,"2016Q1"
"TSE","6758","FQ22016",13894.13314,2,2016,"2016Q2"
"TSE","6758","FQ32016",18624.57671,3,2016,"2016Q3"
"TSE","6758","FQ42016",13739.39063,4,2016,"2016Q4"
"TSE","6758","FQ12017",13267.60739,1,2017,"2017Q1"
"TSE","6758","FQ22017",13941.42658,2,2017,"2017Q2"
"TSE","6758","FQ32017",17640.92404,3,2017,"2017Q3"
"TSE","6758","FQ42017",14433.3186,4,2017,"2017Q4"
"TSE","6971","FQ12013",3724.83421,1,2013,"2013Q1"
"TSE","6971","FQ22013",3989.02312,2,2013,"2013Q2"
"TSE","6971","FQ32013",3677.58832,3,2013,"2013Q3"
"TSE","6971","FQ42013",3753.1717,4,2013,"2013Q4"
"TSE","6971","FQ12014",3341.78032,1,2014,"2014Q1"
"TSE","6971","FQ22014",3750.20908,2,2014,"2014Q2"
"TSE","6971","FQ32014",3535.18765,3,2014,"2014Q3"
"TSE","6971","FQ42014",3652.07377,4,2014,"2014Q4"
"TSE","6971","FQ12015",3304.67484,1,2015,"2015Q1"
"TSE","6971","FQ22015",3460.48303,2,2015,"2015Q2"
"TSE","6971","FQ32015",3233.27906,3,2015,"2015Q3"
"TSE","6971","FQ42015",3540.66179,4,2015,"2015Q4"
"TSE","6971","FQ12016",2773.89211,1,2016,"2016Q1"
"TSE","6971","FQ22016",3201.48668,2,2016,"2016Q2"
"TSE","6971","FQ32016",3081.97188,3,2016,"2016Q3"
"TSE","6971","FQ42016",3440.69938,4,2016,"2016Q4"
"TSE","6971","FQ12017",3115.87698,1,2017,"2017Q1"
"TSE","6971","FQ22017",3290.62448,2,2017,"2017Q2"
"TSE","6971","FQ32017",3095.37455,3,2017,"2017Q3"
"TSE","6971","FQ42017",3660.32293,4,2017,"2017Q4"
"TSE","7203","FQ12013",65478.39318,1,2013,"2013Q1"
"TSE","7203","FQ22013",66018.75946,2,2013,"2013Q2"
"TSE","7203","FQ32013",58093.79769,3,2013,"2013Q3"
"TSE","7203","FQ42013",58532.174,4,2013,"2013Q4"
"TSE","7203","FQ12014",59716.20522,1,2014,"2014Q1"
"TSE","7203","FQ22014",60587.67216,2,2014,"2014Q2"
"TSE","7203","FQ32014",59246.89186,3,2014,"2014Q3"
"TSE","7203","FQ42014",60328.6053,4,2014,"2014Q4"
"TSE","7203","FQ12015",59471.68714,1,2015,"2015Q1"
"TSE","7203","FQ22015",56187.81959,2,2015,"2015Q2"
"TSE","7203","FQ32015",56275.73947,3,2015,"2015Q3"
"TSE","7203","FQ42015",55699.03435,4,2015,"2015Q4"
"TSE","7203","FQ12016",53374.75956,1,2016,"2016Q1"
"TSE","7203","FQ22016",55413.06324,2,2016,"2016Q2"
"TSE","7203","FQ32016",57121.36745,3,2016,"2016Q3"
"TSE","7203","FQ42016",58032.27756,4,2016,"2016Q4"
"TSE","7203","FQ12017",59973.7449,1,2017,"2017Q1"
"TSE","7203","FQ22017",59814.38561,2,2017,"2017Q2"
"TSE","7203","FQ32017",56676.65627,3,2017,"2017Q3"
"TSE","7203","FQ42017",62599.01439,4,2017,"2017Q4"
"TSE","7267","FQ12013",30475.5284,1,2013,"2013Q1"
"TSE","7267","FQ22013",27450.4567,2,2013,"2013Q2"
"TSE","7267","FQ32013",26448.18792,3,2013,"2013Q3"
"TSE","7267","FQ42013",27621.48799,4,2013,"2013Q4"
"TSE","7267","FQ12014",28556.55094,1,2014,"2014Q1"
"TSE","7267","FQ22014",27694.26397,2,2014,"2014Q2"
"TSE","7267","FQ32014",27040.25538,3,2014,"2014Q3"
"TSE","7267","FQ42014",34460.71833,4,2014,"2014Q4"
"TSE","7267","FQ12015",29503.66704,1,2015,"2015Q1"
"TSE","7267","FQ22015",27482.00462,2,2015,"2015Q2"
"TSE","7267","FQ32015",27460.99064,3,2015,"2015Q3"
"TSE","7267","FQ42015",31447.68793,4,2015,"2015Q4"
"TSE","7267","FQ12016",30292.41254,1,2016,"2016Q1"
"TSE","7267","FQ22016",30244.09796,2,2016,"2016Q2"
"TSE","7267","FQ32016",29960.78364,3,2016,"2016Q3"
"TSE","7267","FQ42016",32051.31575,4,2016,"2016Q4"
"TSE","7267","FQ12017",33806.22084,1,2017,"2017Q1"
"TSE","7267","FQ22017",32218.88864,2,2017,"2017Q2"
"TSE","7267","FQ32017",30554.73058,3,2017,"2017Q3"
"TSE","7267","FQ42017",31993.40855,4,2017,"2017Q4"
"SEHK","728","FQ12013",12523.52986,1,2013,"2013Q1"
"SEHK","728","FQ22013",12978.90004,2,2013,"2013Q2"
"SEHK","728","FQ32013",13194.90955,3,2013,"2013Q3"
"SEHK","728","FQ42013",13752.06473,4,2013,"2013Q4"
"SEHK","728","FQ12014",13380.51732,1,2014,"2014Q1"
"SEHK","728","FQ22014",13313.33924,2,2014,"2014Q2"
"SEHK","728","FQ32014",12647.22649,3,2014,"2014Q3"
"SEHK","728","FQ42014",13025.79811,4,2014,"2014Q4"
"SEHK","728","FQ12015",13138.64022,1,2015,"2015Q1"
"SEHK","728","FQ22015",13466.65589,2,2015,"2015Q2"
"SEHK","728","FQ32015",12799.52177,3,2015,"2015Q3"
"SEHK","728","FQ42015",13074.31654,4,2015,"2015Q4"
"SEHK","728","FQ12016",13390.45284,1,2016,"2016Q1"
"SEHK","728","FQ22016",13600.42122,2,2016,"2016Q2"
"SEHK","728","FQ32016",13043.04796,3,2016,"2016Q3"
"SEHK","728","FQ42016",12741.45233,4,2016,"2016Q4"
"SEHK","728","FQ12017",13278.72423,1,2017,"2017Q1"
"SEHK","762","FQ12013",11358.7,1,2013,"2013Q1"
"SEHK","762","FQ22013",12000.09766,2,2013,"2013Q2"
"SEHK","762","FQ32013",12393.28245,3,2013,"2013Q3"
"SEHK","762","FQ42013",12366.69968,4,2013,"2013Q4"
"SEHK","762","FQ12014",12300.70133,1,2014,"2014Q1"
"SEHK","762","FQ22014",11754.92483,2,2014,"2014Q2"
